egp_name,n_sas,soma_horas_sas,soma_loc,categoria_predominante,pipeline_family,n_sas_sem_dup,soma_horas_sas_sem_dup,soma_loc_sem_dup,categoria_egp,score_ponderado_egp,categoria_egp_sem_dup,score_ponderado_egp_sem_dup
BASE_FPL9_AJUSTE_CONTABIL,37,119.13,1649,Trivial,BASE_FPL9_AJUSTE_CONTABIL,37,119.13,1649,Médio,3.1,Médio,3.1
BASE_FPL9_v2,36,65.26,1935,Trivial,BASE_FPL9,4,33.96,810,Complexo,3.8,Médio,3.05
BASE_MENSALIDADE_NAO_GERADA,1,40.0,666,Complexo,BASE_MENSALIDADE_NAO_GERADA,1,40.0,666,Complexo,3.4,Complexo,3.4
BASE_MENSALIDADE_NAO_GERADA_ANALISAR,1,49.49,616,Complexo,BASE_MENSALIDADE_NAO_GERADA_ANALISAR,1,49.49,616,Complexo,3.55,Complexo,3.55
BASE_REPASSE_ABERTURAS,6,22.0,324,Trivial,BASE_REPASSE_ABERTURAS,3,19.75,275,Médio,2.75,Médio,2.6
BASE_REPASSE_ABERTURAS sap,7,30.29,346,Trivial,BASE_REPASSE_ABERTURAS sap,7,30.29,346,Médio,2.75,Médio,2.75
BASE_TGT_PAINEL - COMPARAÇÃO DE PREÇO BRUTO,9,28.61,408,Trivial,BASE_TGT_PAINEL - COMPARAÇÃO DE PREÇO BRUTO,9,28.61,408,Simples,1.8,Simples,1.8
BASE_TGT_PAINEL - COMPARAÇÃO DE PREÇO BRUTO_v2,10,20.48,709,Trivial,BASE_TGT_PAINEL - COMPARAÇÃO DE PREÇO BRUTO,4,15.08,656,Simples,1.95,Trivial,1.65
BKP_Projeto_Gestao_Novo_PEP_NEW_20180410,33,264.85,5240,Trivial,BKP_Projeto_Gestao_Novo_PEP_NEW,33,264.85,5240,Muito Complexo,4.8,Muito Complexo,4.8
BKP_Projeto_Gestao_Novo_PEP_NEW_20180511,30,84.97,5170,Trivial,BKP_Projeto_Gestao_Novo_PEP_NEW,1,14.23,216,Muito Complexo,4.8,Simples,2.45
BLACKLIST_REMAT_20201,11,50.76,1515,Simples,BLACKLIST_REMAT_20201,4,31.939999999999998,635,Complexo,3.75,Médio,3.05
BLACKLIST_REMAT_20202,10,86.88,1670,Simples,BLACKLIST_REMAT_20202,9,84.51,1592,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20211,10,77.03,1648,Simples,BLACKLIST__REMAT_20211,7,70.44,1000,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20212,10,84.77,1648,Simples,BLACKLIST__REMAT_20212,8,81.5,1375,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20221,10,84.77,1707,Simples,BLACKLIST__REMAT_20221,8,81.5,1434,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20222,10,105.66,2129,Simples,BLACKLIST__REMAT_20222,8,102.39,1856,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20222_BKP,10,78.34,1843,Simples,BLACKLIST__REMAT_20222,6,70.09,1158,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20231,10,105.66,2110,Simples,BLACKLIST__REMAT_20231,8,102.39,1837,Complexo,3.75,Complexo,3.75
BLACKLIST__REMAT_20232,10,72.57,1477,Trivial,BLACKLIST__REMAT_20232,9,71.67,1282,Complexo,3.65,Complexo,3.65
BLACKLIST__REMAT_20232 (2),10,33.99,2110,Simples,BLACKLIST__REMAT_20232,0,0.0,0,Complexo,3.75,Complexo,
BLACKLIST__REMAT_2025.1,9,106.79,1545,Simples,BLACKLIST__REMAT_2025.1,9,106.79,1545,Complexo,3.65,Complexo,3.65
BLACKLIST__REMAT_2025.1_BKP,9,102.23,1473,Trivial,BLACKLIST__REMAT_2025.1,8,101.17,1424,Complexo,3.75,Complexo,3.75
BOLETO GERADO VENCIDO - Dani,1,14.86,169,Simples,BOLETO GERADO VENCIDO - Dani,1,14.86,169,Simples,2.5,Simples,2.5
BOLSA,1,37.27,541,Médio,BOLSA,1,37.27,541,Médio,3.3,Médio,3.3
BOLSAS_CONTROLECONCESSAO_X_ALUNCONV,1,17.52,346,Médio,BOLSAS_CONTROLECONCESSAO_X_ALUNCONV,1,17.52,346,Médio,2.65,Médio,2.65
BOLSA_NÃO_REFLETE,1,37.27,541,Médio,BOLSA_NÃO_REFLETE,1,37.27,541,Médio,3.3,Médio,3.3
BOLSA_PEP,2,43.77,792,Complexo,BOLSA_PEP,2,43.77,792,Complexo,3.4,Complexo,3.4
BOLSA_PEP (2),1,43.16,681,Complexo,BOLSA_PEP,1,43.16,681,Complexo,3.45,Complexo,3.45
BOLSA_PEP_ana,2,70.05,1049,Complexo,BOLSA_PEP_ana,2,70.05,1049,Complexo,3.95,Complexo,3.95
BOLSA_PEP_ana - Copia,1,12.95,681,Complexo,BOLSA_PEP_ana,0,0.0,0,Complexo,3.45,Complexo,
BOLSA_PEP_ana2,2,62.44,1478,Complexo,BOLSA_PEP_ana2,1,49.49,757,Complexo,4.1,Complexo,3.55
BOLSA_PEP_ana2 - Copia,2,62.44,1478,Complexo,BOLSA_PEP_ana2,1,49.49,757,Complexo,4.1,Complexo,3.55
BOLSA_PEP_ana2 - Copia (2),2,92.65,1478,Complexo,BOLSA_PEP_ana2,2,92.65,1478,Complexo,4.1,Complexo,4.1
BOLSA_PEP_ana2____,2,62.44,1478,Complexo,BOLSA_PEP_ana2____,1,49.49,757,Complexo,4.1,Complexo,3.55
BOLSA_PEP_andy,3,83.0,1698,Complexo,BOLSA_PEP_andy,2,70.05,977,Complexo,4.1,Complexo,3.8
BO_CONTABILIZA,11,38.12,495,Trivial,BO_CONTABILIZA,10,36.69,411,Médio,2.85,Médio,2.7
BO_CONTABILIZA_N,5,17.75,343,Trivial,BO_CONTABILIZA_N,4,16.85,305,Simples,2.2,Simples,2.2
BP_CR,5,16.32,254,Trivial,BP_CR,5,16.32,254,Simples,2.05,Simples,2.05
BUSINESS_OPERACAO,1,9.16,74,Simples,BUSINESS_OPERACAO,1,9.16,74,Simples,2.05,Simples,2.05
Base Inicial PraValer,1,3.77,38,Trivial,Base Inicial PraValer,1,3.77,38,Trivial,1.35,Trivial,1.35
Base Potencial 23.2,11,37.68,824,Trivial,Base Potencial 23.2,11,37.68,824,Simples,2.25,Simples,2.25
Base Potencial 23.2 Final,6,19.08,222,Trivial,Base Potencial 23.2 Final,6,19.08,222,Trivial,1.5,Trivial,1.5
Base Potencial 23.2 Final - Aajustes de Premium e Dívida,13,41.199999999999996,624,Trivial,Base Potencial 23.2 Final - Aajustes de Premium e Dívida,13,41.199999999999996,624,Simples,2.35,Simples,2.35
Base Potencial 24.1,19,23.66,1141,Trivial,Base Potencial 24.1,1,3.77,69,Médio,2.65,Trivial,1.35
Base Potencial 24.1 - Ajuste de cd_unidade (distrato),4,11.799999999999999,155,Trivial,Base Potencial 24.1 - Ajuste de cd_unidade (distrato),4,11.799999999999999,155,Trivial,1.7,Trivial,1.7
Base Potencial 24.1 - Ajuste de dt_matricula,1,4.28,92,Trivial,Base Potencial 24.1 - Ajuste de dt_matricula,1,4.28,92,Trivial,1.45,Trivial,1.45
Base Potencial 24.1 - Copia,19,67.55,1141,Trivial,Base Potencial 24.1,18,66.42,1072,Médio,2.65,Médio,2.65
Base Potencial 24.2,27,82.83,1556,Trivial,Base Potencial 24.2,26,81.92999999999999,1549,Médio,2.75,Médio,2.75
Base Potencial 25.1,20,62.379999999999995,1341,Trivial,Base Potencial 25.1,17,59.37,1018,Médio,2.75,Médio,2.75
Base Potencial 25.1_old,23,25.11,1369,Trivial,Base Potencial 25.1,2,5.01,84,Médio,2.75,Trivial,1.35
Base Projeto Mood,13,48.699999999999996,627,Trivial,Base Projeto Mood,13,48.699999999999996,627,Simples,2.55,Simples,2.55
Base de Alunos e Base Captação Pós-graduação,1,4.03,38,Trivial,Base de Alunos e Base Captação Pós-graduação,1,4.03,38,Trivial,1.4,Trivial,1.4
Bolsa Primeiro Semestre,5,17.6,195,Trivial,Bolsa Primeiro Semestre,5,17.6,195,Simples,1.95,Simples,1.95
